weapon,type,别名,外文名,相关型号,速度参数,范围参数,尺寸参数,质量参数,数量参数,级别参数,时间,国家,相关的人与机构,作用,现状,相关地点,特点,装备
M110型203毫米自行榴弹炮,火炮,,,,,,,,,,,,,,,,,
韩国K9雷声自行式榴弹炮,火炮,,外文名称:K9 Self-Propelled Howitzer;,,,,,,,,服役时间:1999年;研发时间:1989;,所属国家:韩国;,,,,,,
韩国“飞虎”30毫米双管自行火炮,火炮,,,,射速:2×600发/分钟;,有效射程:3000米;,口径:30毫米;,,,,,,,,,,,
ZSU-37自走防空炮,火炮,,,,,,,,,,时间:1941年6月22日;,所属国:俄国;,,,,,属性:兵器;,
日耳曼“犀牛”自行反坦克炮,火炮,,,,,,,,,,,制造国:德国;,,,,,,
苏联SU-100自行反坦克炮,火炮,,,改进原型:SU-85;,,,高度:2.25米;全长:9.45米;宽度:3.00米;,战斗全重:31600千克;,,,,国家:前苏联;原产国:前苏联;,研发厂商:彼得洛夫设计局;,,,,,
苏联ISU-152自行反坦克炮,火炮,,,,,,,,,,装备时间:1944年11月;,,,,,,,
苏联SU-85自行反坦克炮,火炮,,,,,,车宽:3.00m;,战斗全重:29200kg;,,,,,,,,,,
苏联SU-76自行反坦克炮,火炮,,,,,,,,,,,,,,,,,
SU-152自行火炮,火炮,,,,,,高度:2.45米米;宽度:3.25米米;,,制造数量:704辆辆;,,,原产国:苏联;,,,,,,
SU-51自行火炮,火炮,,,,射速:2.6（发/分钟）;,,,,弹药量:16.0;,,,,,,,,,
S-51自行火炮,火炮,,,前型/级:b4 榴弹炮;,,,,,,,研制时间:1943;定型时间:1944;,国家:前苏联;,,,,,,
SU-122自行火炮,火炮,,,,,,,战斗全重:战斗全重 30900kg;,,,生产日期:1942年;,制造国家:苏联;,,,,,,
德国黄蜂自行火炮,火炮,,,,,,,战斗全重:11.2吨;,乘员:4人;,,,,,,,,,发动机:maybach HL 62TR;
德国野牛自行火炮,火炮,,外文名:Bison;,,,,,,,,设计时间:1927年;,,,,,,,
德国猎豹自行反坦克炮,火炮,,外文名:The German Jagdpantherself-propelled anti tank gun;,,,,,,,,设计时间:1942年1月;样车展出时间:1943年10月20日;,,,,,,,
德国黑豹自行火炮,火炮,,,,,,,,,,,,,,,,,
美国M12自行火炮,火炮,,,,,,,,,,时间:1940年;,,,,,,,
反坦克火炮,火炮,旧名:“战防炮”，“防坦克炮”;,外文名:anti-tank gun;,,,,,,,,,,,作用:毁伤各种装甲目标;,,,,
1130近防炮,火炮,,,前型:H/PJ-12型7管30毫米炮（730型）;,,,,,,,,,,,,,特点:同时配有雷达、红外线追踪系统;,
奥地利SM-4式120毫米迫击炮,火炮,,,,,,口径:中口径炮;,,,,,,研制机构:诺里库姆机械制造和贸易有限公司;,,,,,
复合材料迫击炮,火炮,,英文名称:Composite mortar;,,,,,,,,,国家:美国;,,,,,,
九七式90mm轻迫击炮,火炮,,,,,,,总重:67公斤;,,,服役时间:1937-1945年;,,,,,,,
M224便携式60毫米迫击炮,火炮,,,,,,,,,,,,,,,,,
M30式107mm迫击炮,火炮,,,型号:M30 式;,,,,,,,,国别:美国;,,,,,,
M1938型120mm重型迫击炮,火炮,,,,,,,,,,,,,,,,,
M224式60mm迫击炮,火炮,,,型号:M224 式;,,,,,,,,国别:美国;,,,,,,
81毫米M252式迫击炮,火炮,,,,,,,,,,服役时间:1987年;,国家:美国;,,,,,,
轻兵器,火炮,,外文名称:Small Arms;,,,,,,,,创刊时间:1978年;,,编辑单位:《轻兵器》杂志社;主管单位:中国兵器装备集团公司;主办单位:中国兵器工业第二〇八研究所;,,,,,
三一式60公厘迫击炮,火炮,,,,,"射程:1,333米;",口径:60MM;,,,,研发时间:1938年;,产地:中国;,研发单位:五十兵工厂;,,,,,
四式300mm自行迫击炮,火炮,,,,,,,,,,,国家:日本;,,,,,,
苏联M—43式迫击炮,火炮,,,型号:M-43;,,,,,,,,国别:前苏联;,,,,,,
T73式60毫米迫击炮,火炮,,,,,最小射程:45米;最大射程:1830米;,口径:60毫米;,,,,,,,,,,性能特点:重量轻，便于携带;,
以色列轻型车载迫击炮,火炮,,,,,,口径:120毫米;,,,,,,,,,,,
中国78式82毫米无坐力炮,火炮,,,,,,口径:82毫米;,总重:34.3千克;,,,装备时间:1981年;,所属国家:中国;,,,,,,
中国55式100毫米迫击炮,火炮,,,,,,口径:120毫米;,,,,,,,,,,,
中国60毫米迫击炮,火炮,,英文名称:China 60 mm mortar;,,,,,,,,服役时间:1964年;定型时间:1963年;,国家:中国;,,,,,,
坐钣,火炮,,,,,,,,,,,,,,,,,
中国81毫米W1987式迫击炮,火炮,,外文名:W1987 Mortar;,,,最小射程:120米;最大射程:5700米;,,,,,,,,,,,,
比利时90毫米科克里尔MK4式坦克炮,火炮,,,,射速:8发/分;,,,,,,,,,,,,,
德国莱茵金属公司,火炮,,外文名称:Rheinmetall GmbH;,,,,,,,,成立时间:1889年;,,,,,总部地点:德国;,公司性质:国有企业;,
滑膛炮,火炮,,外文名称:smoothbore cannon;,,,,,,,,制造时间:18世纪初;,,,,,制造地点:英国;,,
坦克炮,火炮,,,,,,,,,,,,,,,,,
线膛炮,火炮,,外文名:cannon;,,,,,,,,,,,作用:可以使弹丸保持稳定飞行;,,,,
意大利B1式105毫米自行反坦克炮,火炮,,外文名:B1 SP Tank Desoyer;,,,,,,,,研制时间:80年代初;,国家:意大利;,,,,,,
英国L11式120毫米坦克炮,火炮,,,,,,,,,,,,,,,,,
德国KJPZ4-5式90毫米自行反坦克炮,火炮,,,,,有效射程:1500米;最大射程:7000米;,,战斗全重:25.7吨;,,,,,,,,,,
二战德国Pak38型50mm反坦克炮,火炮,,,,,,全长:4.75米;,,,,服役时间:1940~1945年;研制时间:1938年;,国家:德国;,制造商:莱茵金属公司;,,,,,
E-25型自行反坦克炮,火炮,,,,,,,战斗全重:27吨;,,,,国家:德国;,,,,,,发动机:梅巴赫HL100型;
法国AMX-10RC轮式自行反坦克炮,火炮,,,,最大速度:85公里/小时;,,,,,,,装备国家:法国，摩洛哥和卡塔尔;,,,,,,
M157mm反坦克炮,火炮,,,,,,口径:M1 57mm（6磅）;,,,,,国家:英国;,,,,,,
M1930型37毫米反坦克炮,火炮,,,,,,,,,,时间:1930年;,国家:苏联;,,,,,,
Pak40型反坦克炮,火炮,,外文名:Panzerabwehrkanone 40;,,,,炮长:3.7m;口径:75mm;,战斗重量:1425kg;,,,,,,,,,,
前苏联陆军57mmZIS-21941年型反坦克炮,火炮,,,,,最大射程:8400米;,,全重:1150公斤;,,,,,,,,,,
瑞典LKV-91式自行反坦克炮,火炮,,,,最大速度:65公里/小时;,最大行程:500公里;,,,,,,国家:瑞典;,,用途:支援步兵抗击坦克;,,,,
瑞士“鲨鱼”轮式自行反坦克炮,火炮,,,,,,,,,,,,,,,,特点:车体装甲较厚;,
四式75毫米自行反坦克炮,火炮,,,,,,,,,,,,,,,,,
意大利B1”逊陶罗”轮式自行反坦克炮,火炮,,外文名:B1 SP Tank Destroyer;,,,,,,,,研制时间:80年代初;,国家:意大利;,,,,,,
中国73式100毫米滑膛反坦克炮,火炮,,,,,,口径:中口径炮;,,,,研发时间:1973年;,,,,,,,
中国86式100毫米滑膛反坦克炮,火炮,,,,,,口径:100毫米;,,,,,,,,,,,
ZIS-3反坦克炮,火炮,,,,,,全长:6095毫米;,,,,,国家:前苏联;,,,,,,
俄罗斯ZSU-23-4式23MM高炮,火炮,,,次型/级:2K22 式“通古斯卡”防空武器系统;前型/级:前苏联ZSU-57-2自行高炮;,,,,,,,服役时间:20世纪60年代;研制时间:1957年;定型时间:1962年;停产时间:1983年;,国家:前苏联;,,,,,,
GDF-002式35MM双管高射炮,火炮,,,,初速:1175米/秒;,有效射程:4000米;,口径:35毫米;,,,,,,,,,,,
火神M163A1式20毫米自行高射炮,火炮,,,前型/级:火神 M163 式 20mm 高射炮;,,,,,,,服役时间:1968 年 8月;研制时间:1964 年开始1967年研制成功;定型时间:1965 年正式定型;,国家:美国;,,,,,,
JP113式37毫米双管高射炮,火炮,,,,"炮口初速:1,000米/秒;","最大射程:9,400米;","全长:6,900毫米;炮管长度:1,880毫米;口径:37毫米;","总重:9,400千克;",,,,,,,,,,
猎豹35毫米双管自行高射炮,火炮,,,,,有效射程:4000米;,,,,,,国家:德国;,,,,,,
M1939式37毫米高炮,火炮,,,,,,口径:小口径炮;,,,,,所属国家:苏俄;,研制机构:苏联加里宁格勒第八火炮厂;,,,,,
平壤地区反航空司令部,火炮,,,,,,,,,,时间:1999年;,国家:朝鲜;,,,,,,
瑞士厄利空GDF35毫米双管高射炮,火炮,,,,,,,,,,研发时间:1979年;,国家:瑞士;,研发单位:瑞士厄利空－比尔勒有限公司;,,,,,
台湾40毫米L70高射炮,火炮,,,,,,,,,,,,,,,,,
希腊月神30毫米双管高射炮,火炮,,,,,最大射程:服役6500米;,,,,,服役时间:1988年;,,,,,,,
西在姆25毫米四管自行高射炮,火炮,,,,,,,,,,,,,,,,,
希腊“狩猎女神”30毫米双管高射炮系统,火炮,,外文名:Artemis 30mm Light Anti-aircraft Gun System;,,,,,,,,,,研制机构:武器工业公司;,,,,,
意大利“奥托.梅拉拉”25毫米4管自行高射炮,火炮,,外文名:OTO Melara  SP Gun;,,,,,,,,生产时间:1987年;,,,,,,,
11式模块化自行122毫米火箭炮,火箭炮,,,,,最远射程:约40公里;,,,,,,国家:中国;,火力单位:师、旅一级单位;,,,,特点:箱式模块化;,
喀秋莎火箭炮,火箭炮,,英文名:Katyusha;,次型/级:安德柳沙多管火箭炮;前型/级:填写此处;,初速:70米/秒;,最远射程:7900-8800米;,弹长:1450毫米;弹径:132毫米;,弹重:42.5千克;,,,齐射时间:7-10秒;服役时间:1939年;装填时间:5-10分钟;研制时间:1938年;,国家:苏联;,研制单位:沃罗涅日共产国际工厂;,,,,,
PHL-16远程火箭炮,火箭炮,,英文名:填写此处;,,最大速度:60千米/小时;,,火炮口径:370毫米/300毫米;,重量:45吨千克;,,,装备时间:2014年;,国家:中国;,研制单位:中国北方工业公司;,,,,,
新90式122毫米轮式自行火箭炮,火箭炮,,,,,,,战斗全重:20吨;,,,,,,,,,,
WS-1“卫士”火箭炮,火箭炮,,,,,,,,,,,国家:中国;,服役部队:中国人民解放军陆军;研发单位:中国北方工业总公司;,,,,,
响盒式50MM多管火箭发射器,火箭炮,,,,,,口径:50ｍｍ;,,,,,,,用途:近战;,现状:装备;,,,
美国“魔爪”制导火箭弹,火箭炮,,,,,最近射程:1.2千米;最远射程:6千米;,口径:2.75英寸;,,,,,,,,,,,
捷MK70式火箭炮,火箭炮,,,,,,,,,,,研制国别:捷克斯洛伐克;,,,,,,
A3火箭炮,火箭炮,,,,,,,,,,,,,,,,,
A100式300毫米10管火箭炮,火箭炮,,,,,,直径:0。3米;弹长:7。3米;,,,,,,,,,,,
AR-3火箭炮,火箭炮,,,,,射程:280、220公里两种;,,,,,装备时间:2014年;,所属国家:中国;,研发单位:中国北方工业公司;,,,,,
飓风220毫米火箭炮,火箭炮,,,,,最大射程:34000米;,口径:大口径炮;,弹重:280公斤;,,,齐射时间:20秒;研发时间:20世纪70年代中期;,,,,,,,
巴西SBAT-70式70毫米火箭炮,火箭炮,,,,,最大射程:7.5公里;,口径:70毫米;,,,,,,,,,,,
