weapon,别名,时间,国家,特点,作用
VT-4主战坦克,无,2012年亮相,中国,是一型模块化、信息化、具有自主知识产权的主战坦克,暂无介绍
T-34坦克[第二次世界大战中苏联著名坦克],无,20世纪40年代50年代生产,苏联,该坦克战斗全重32吨，最大公路速度75千米/小时，最大行程400千米,暂无介绍
退射坦克,无,暂无介绍,未知,这种坦克的射程最远、速度一般,暂无介绍
坦克抢救车,无,暂无介绍,未知,暂无介绍,"主要用于野战条件下，对淤陷、战伤和技术故障的坦克实施拖救和牵引后送;必要时,也可用于排除路障和挖掘坦克掩体等"
T-98式坦克,无,暂无介绍,未知,我军最新型T-98式坦克战斗全重50T，最大行程500KM（与M1A2相当)，火控系统采用下反稳像式火控系统,暂无介绍
T-127,无,1940年研制,苏联,暂无介绍,暂无介绍
T29重型坦克,无,1944年3月用于对抗,美国,并且能够让驾驶员更加舒适,T29是一个开始于1944年3月；用于对抗德军新型重型坦克的美国重型坦克工程
T-34/85,无,1943年升级改进来,苏联,暂无介绍,暂无介绍
T-95主战坦克[第三代主战坦克],无,2009年生产,苏联,安装了口径为152毫米的新型滑膛炮，并具有更大的单位功率与加速性能,暂无介绍
T95重型坦克,无,1945年要求发展,美国,暂无介绍,暂无介绍
坦克歼击车[自行反坦克炮],无,暂无介绍,德国,暂无介绍,暂无介绍
SA2型76毫米自行高炮系统,无,暂无介绍,意大利,76毫米算是中口径，特点是射速高，体积又比较紧凑,暂无介绍
新加坡飞马155毫米重型火炮,无,暂无介绍,未知,暂无介绍,暂无介绍
JRVG-1型76毫米自行火炮武器系统,无,暂无介绍,未知,这门76毫米火炮采用的是国产的76毫米舰炮的成熟技术,暂无介绍
QF4.5英寸MKII型炮,无,1910年研制,英国,QF4.5英寸榴弹炮（114.3毫米口径）是英国在一战前的1910年研制成功的榴弹炮，该炮采用楔形炮栓,暂无介绍
PCL-181新型车载加榴炮,无,暂无介绍,未知,是我陆军集团军装备最新锐的大口径压制火炮，具有机动性强、火力反应快、打击精度高、信息化水平高等特点,暂无介绍
意大利“奥托”高射炮,无,暂无介绍,未知,暂无介绍,暂无介绍
OB-25式团属野战炮 ,无,1927年闭锁,未知,一个具有4根弹簧的复位机，采用ZIK-1或者GAZ-AA炮的炮轮，OB-25式团属野战炮具有份量轻,暂无介绍
M1930 (1-K)37毫米反坦克炮 ,无,1930年引进反坦克炮,苏联,暂无介绍,暂无介绍
M163火神自行高炮,无,暂无介绍,美国,暂无介绍,主要用于掩护前沿部队，对付低空飞机和武装直升机，也可对付地面轻型装甲目标
飞雷炮（没良心炮）,炸药抛射筒的武器的主体就是一个空汽油桶,暂无介绍,未知,暂无介绍,暂无介绍
83式152毫米履带自行加榴炮,无,1984年10月1日通过,中国,暂无介绍,其主要用途是：以不间断的火力支援摩托化步兵和装甲兵的战斗行动；压制和歼灭敌有生力量及火器，破坏敌野战防御工事；与敌炮兵、坦克和装甲车辆作战
迫击砲,无,暂无介绍,未知,暂无介绍,暂无介绍
PGZ-07自行高炮,无,暂无介绍,中国,暂无介绍,暂无介绍
PLZ52自行榴弹炮,无,1988年露面居于,苏联,早在1988年公开露面的45倍口径PLZ-45型自行榴弹炮的射程就已经居于世界的前列，它发射中国自行研制的低阻全膛增程弹时射程为30公里，射击低阻底排增程弹时射程可达39公里,暂无介绍
PTL02轮式突击炮,无,暂无介绍,未知,PTL02式100毫米轮式自行突击炮是一种具有多种作战功能、技术先进、综合性能优越、易于掌握使用的新型大威力轮式自行突击炮,暂无介绍
ZSU-37自走防空炮,无,1943年研制,苏联,暂无介绍,暂无介绍
日耳曼“犀牛”自行反坦克炮,无,暂无介绍,德国,暂无介绍,暂无介绍
SU-51自行火炮,无,1943年开始研制,苏联,暂无介绍,暂无介绍
美国M12自行火炮,无,暂无介绍,美国,暂无介绍,暂无介绍
反坦克火炮,无,暂无介绍,中国,射精度高,暂无介绍
复合材料迫击炮,无,暂无介绍,美国,这是一种采用复合材料制造的迫击炮，该炮全重只有54.43公斤,暂无介绍
M224便携式60毫米迫击炮,无,暂无介绍,美国,暂无介绍,1978 年开始生产，1979 年装备美军步兵连、空中突击连和空降步兵连，主要用于为步兵提供近距完成工程试验离火力支援
M1938型120mm重型迫击炮,无,暂无介绍,苏联,暂无介绍,暂无介绍
苏联M—43式迫击炮,无,1943年,苏联,暂无介绍,暂无介绍
中国78式82毫米无坐力炮,无,暂无介绍,中国,并且击毁轻型坦克、装甲运兵车或碉堡等目标而制造的82 毫米口径滑膛式无后坐力炮系统,暂无介绍
坐钣,无,暂无介绍,未知,暂无介绍,作用是用来承受迫击炮发射炮弹时产生的后坐力
中国81毫米W1987式迫击炮,无,1987年定型,中国,暂无介绍,中国81毫米W1987式迫击炮是我国研制的迫击炮，1987年定型，可为步兵提供压制火力
比利时90毫米科克里尔MK4式坦克炮,无,暂无介绍,比利时,该炮采用50倍口径长身管、三室装有抽气装置的炮口制退器和立楔式炮栓，最大有效射程2000米,暂无介绍
意大利B1式105毫米自行反坦克炮,无,暂无介绍,意大利,意大利B1式105毫米自行反坦克炮是采用英国105毫米L7式坦克炮和8X8“逊陶罗”轮式战车底盘制造的自行反坦克炮，战斗状态全重（生产型）22000千克,暂无介绍
ZIS-3反坦克炮,无,暂无介绍,苏联,全长6095毫米,暂无介绍
M1939式37毫米高炮,无,暂无介绍,未知,全重2100千克，水平最大射程9500米,暂无介绍
台湾40毫米L70高射炮,无,暂无介绍,新加坡,暂无介绍,暂无介绍
意大利“奥托.梅拉拉”25毫米4管自行高射炮,无,1987年生产,意大利,暂无介绍,暂无介绍
11式模块化自行122毫米火箭炮,无,暂无介绍,中国,03式火箭炮是一种大口径压制性武器，除了火箭炮射程之外,暂无介绍
喀秋莎火箭炮,无,暂无介绍,苏联,暂无介绍,喀秋莎火箭炮也叫喀秋莎多管火箭炮，正式编号为喀秋莎BM-13火箭炮，喀秋莎BM-13火箭炮是苏联最先研制成功火箭炮，并首先用于实战
PHL-16远程火箭炮,无,暂无介绍,未知,16式发射300毫米制导火箭弹的有效射程为150公里，发射750毫米近程弹道导弹或者巡飞弹的射程更远且精度更高,暂无介绍
新90式122毫米轮式自行火箭炮,无,暂无介绍,未知,暂无介绍,暂无介绍
捷MK70式火箭炮,无,暂无介绍,捷克,暂无介绍,暂无介绍
A3火箭炮,无,1948年组建,中国,最大射程5公里,暂无介绍
AR-3火箭炮,无,暂无介绍,中国,最大速度60千米/小时，该系统的射程在22~220千米,暂无介绍
比利时70毫米LAU-97式多管火箭炮,无,1984年过,比利时,LAU-97式70毫米火箭炮是比利时泽布勒赫铸造厂研制的口径70毫米的40管轻型火箭炮,1984年曾进行过射击表演，装备团一级部队，用于对面目标设计
各国火箭炮,多管火箭炮,暂无介绍,未知,火箭炮不需要有能够承受巨大膛压的笨重炮身和炮闩，它的发射速度快,火箭炮的主要作用是引燃火箭弹的点火具和赋予火箭弹初始飞行方向，火箭炮能多发联射和发射弹径较大的火箭弹，它的发射速度快，火力猛，突袭性好，但射弹散布大，因而多用于对目标实施面积射打击
M270多管火箭炮,无,1983年使用,美国,北约多个成员国相继开始采用M270,暂无介绍
MLRS多管火箭系统,无,1983年用以填补管,美国,暂无介绍,暂无介绍
卫士WS-1／1B型300毫米多管火箭炮,无,暂无介绍,未知,射程60-180千米，超过美军BLOCK-1战术导弹射程（165千米），最大飞行速度5,暂无介绍
中国83式273毫米火箭炮,无,1983年设计,未知,暂无介绍,暂无介绍
中国122毫米81式多管火箭炮,无,暂无介绍,中国,暂无介绍,暂无介绍
中国130毫米1970式多管火箭炮,无,1977年10月设计定型,中国,暂无介绍,暂无介绍
山猫超轻型全地形车,无,2014年服役,未知,常用速度在40-80公里/小时,暂无介绍
法国狮身人装甲侦察车,无,暂无介绍,法国,暂无介绍,暂无介绍
美军DUKW水陆两用运输车,无,1942年制造,未知,暂无介绍,暂无介绍
ZBD-04履带式步兵战车,无,2003年12月,中国, 战车采用中国自行研制的履带式底盘，车体采用铝合金材料，车尾门下方两侧具有两个喷水推进器喷口，具有较佳的浮渡性能,暂无介绍
ZBD-09 8×8轮式步兵战车,无,2009年10月1日排在,中国,暂无介绍,暂无介绍
BTR-80装甲人员运输车,无,1984年设计定型,苏联,暂无介绍,暂无介绍
WJ-03B警用装甲车,无,暂无介绍,中国,具有多种作战能力,暂无介绍
第三代猛士装甲车,无,2002年决定研制,中国,而其中由美国通用生产的Humvee具有标杆意义,对于中国汽车自主研发也有积极的促进作用，Humvee，这是一款多用途高机动性四轮驱动车，现在美军方昵称为Humvee，民用版本则称之为Hummer(悍马)
英国“狐”式轻型装甲侦察车,无,1965年研制,英国,该车采用全焊接的铝合金装甲车体和炮塔，发动机采用“美洲虎”XK6缸4.2升汽油机，战斗全重6120千克，公路行程434千米,暂无介绍
ZBD-03空降步兵战车,无,2005年空降步兵战车举办,中国,暂无介绍,暂无介绍
ZLC2000空降步兵战车,无,暂无介绍,中国,ZLC 2000型空降步兵战车的速度是每小时68公里，涉水速度6公里/小时,暂无介绍
SU-85坦克歼击车,无,暂无介绍,苏联,就是当作具有机动力的反坦克武器,暂无介绍
美国轻型近战车辆,XM4,1983年10月开始研制,美国,暂无介绍,暂无介绍
巴塔耶B-1战车,无,暂无介绍,未知,暂无介绍,暂无介绍
CV90120坦克歼击车,无,暂无介绍,未知,暂无介绍,暂无介绍
防核防生化侦察车,无,2012年5月16日展示可应对,日本,具有高度机动性、一定的火力和防护能力，满油行程500公里,装甲侦察车是配备有侦察设备的战斗车辆，主要用于实施战术侦察，具有高度机动性、一定的火力和防护能力
潘哈德VBL轮式侦察车,无,暂无介绍,未知,暂无介绍,暂无介绍
LVT履带式登陆车,无,1942年8月登陆得到,未知,暂无介绍, 在二战期间太平洋战区的岛屿争夺战中，“水牛”LVT系列登陆车发挥了重要作用
澳大利亚犬ATF,无,暂无介绍,德国,暂无介绍,暂无介绍
巴西XMP-1履带式装甲人员输送车,无,暂无介绍,巴西,暂无介绍,暂无介绍
VAB装甲输送车,无,暂无介绍,法国,两种设计的车体具有相同的布局,暂无介绍
美国康曼多V-300轮式装甲车,无,暂无介绍,未知,暂无介绍,暂无介绍
南斯拉夫M-60P履带式装甲人员输送车,无,1965年生产,美国,暂无介绍,暂无介绍
雷纳迪尔轮式装甲人员输送车,无,1966年完成,瑞士,暂无介绍,该车是瑞士莫瓦格公司投资研制的一种多种用途的轮式装甲车辆，可作为装甲人员输送车、国内安全车、通信指挥车、人员救护车、补给运输车和侦察车，公司于1966年完成第一辆样车，1967年投产，主要用于出口
CS/LW9型拐弯枪武器系统,无,暂无介绍,中国,暂无介绍,暂无介绍
HD66型非线性拐弯枪,无,那时成为当时,英国,这种设计使得枪械能够对视觉的盲区进行观察,暂无介绍
Five seveN,无,暂无介绍,未知,暂无介绍,暂无介绍
FN57手枪（比利时研发的军事装备）,无,暂无介绍,未知,FN57手枪首次在手枪套筒上成功采用钢——塑料复合结构,暂无介绍
CZ75手枪,无,1936年生产,捷克,当时他们按照中央政府要求设计一种采用大容量弹匣、双动板机的制式手枪，手感舒适、性能可靠、精度良好，合理的人机工效及能够实施转换套件的设计思想,暂无介绍
64式手枪,无,1964年设计定型,中国, 该枪以其小巧轻便、外形美观、便于隐蔽携带、易于维护保养、射击可靠性好和精度高等优点而广受青睐,暂无介绍
GSh-18半自动手枪,无,1990年代研制生产,俄罗斯,暂无介绍,暂无介绍
鲁格P08,无,暂无介绍,德国,二战最具有代表性的手枪,暂无介绍
柯尔特左轮手枪[军事武器枪械],无,暂无介绍,未知,暂无介绍,暂无介绍
贝瑞塔93R,无,1975年为设计冲锋,意大利,口径为9 x 19毫米 ,暂无介绍
Anaconda左轮军魂,无,暂无介绍,未知,因此“蟒蛇”转轮手枪的设计是在一个.41口径转轮手枪底把(转轮座)的基础上进行的,暂无介绍
M1991A1手枪,无,1814年6月9日出生于,苏联,在国际兵器界具有很大的影响,暂无介绍
中国造1959年式9毫米手枪,无,1959年仿造,苏联, 59式手枪口径9毫米，战斗全重0.81千克，有效射程50米,暂无介绍
59式手枪[军事武器枪械],无,1959年仿制,中国,苏联红军决定采用马卡洛夫PM手枪作为新的自卫武器,暂无介绍
L98A1教练枪,无,暂无介绍,未知,采用另一种瞄准镜,暂无介绍
气动式气枪,无,暂无介绍,未知,使子弹能射出象样的速度，决大多数的多次泵压式气枪体积小，重量轻,暂无介绍
77式手枪,无,1976年修研制成功,中国, 1977年式7.62毫米手枪采用自由枪机式自动方式,暂无介绍
PPK自动手枪[自动手枪],无,1929年推出订名为,未知,暂无介绍,暂无介绍
FN P90式5.7mm个人自卫武器,无,1990年推出,比利时,暂无介绍,暂无介绍
欧洲转轮枪,无,1520年进入转,德国,暂无介绍,暂无介绍
瑞士SIGP2269毫米手枪,无,1980年合作研制,瑞士,该枪最大特点是结构紧凑,暂无介绍
瓦尔特P38手枪[军事武器枪械],无,暂无介绍,德国,暂无介绍,暂无介绍
韦松与利比兹专利型军用转轮手枪,无,1850年11月16日获得制作,美国,其特点在于转轮座上的击锤前方设有使枪管回转并向上弹起的轴,暂无介绍
WALTHERP38手枪,无,1938年设计定为,德国,P-38式手枪还被瑞典军队所采用,暂无介绍
沃尔特M1938(P38)（P1)型手枪,无,1938年问世,未知,战后被西德陆军采用,暂无介绍
左轮手枪[枪支],左轮手枪,暂无介绍,未知,暂无介绍,暂无介绍
战术手枪,无,暂无介绍,未知,暂无介绍,暂无介绍
斑蝰蛇手枪[军事武器枪械],无,暂无介绍,未知,9X21毫米口径的子弹,暂无介绍
勃朗宁M1910手枪,无,1910年设计,比利时,暂无介绍,暂无介绍
巴斯利特莫利纳,无,1919年1943年生产,未知,暂无介绍,暂无介绍
八四式7.62mm手枪,无,1984年10月通过,中国,该枪体积小、重量轻、便于隐蔽携带，射击精度好、后坐力小、使用安全可靠,暂无介绍
匕首枪,无,暂无介绍,未知,暂无介绍,暂无介绍
便携式窃听手枪,无,暂无介绍,未知,暂无介绍,暂无介绍
德国P-11水下无声手枪,无,1976年装备使用,德国,暂无介绍,暂无介绍
德维兹姆转轮折转式转轮手枪,无,1858年12月30日获得,法国,该枪采用转轮折转式结构,暂无介绍
德国沃尔特P38手枪,无,暂无介绍,德国,暂无介绍,暂无介绍
GLOCK17L,无,暂无介绍,未知,暂无介绍,GLOCK17L是用于比赛的GLOCK17，结构一样，只是枪管加长
GLOCK24C,无,暂无介绍,未知,暂无介绍,暂无介绍
Glock 18C[奥地利出产手枪],无,暂无介绍,奥地利,具有自动射击功能,暂无介绍
RM277步枪,无,暂无介绍,美国,暂无介绍,暂无介绍
NGSW步枪系统,无,暂无介绍,未知,暂无介绍,暂无介绍
日本20式突击步枪,无,2021年开始列装,日本,暂无介绍,暂无介绍
QBZ191步枪,无,2019年,未知,这种新型步枪是一种气动短行程手枪突击步枪，采用标准的5.8x42mm口径，但采用了设计成性能更好的新型弹药，卡宾枪配置的有效射程为300米，步兵突击步枪的有效射程为400米,暂无介绍
M733 COMMANDO,无,2003年4月10日上市,美国,暂无介绍,暂无介绍
G36C,无,暂无介绍,未知,因此“短”和“轻”就是它的最大特点,暂无介绍
QBZ-191突击步枪,无,1997年服役,中国,因为中国采用了一种更具“传统”布局的武器-包括一本位于手枪握把前方的弹匣，步兵版本将具有14.5英寸的枪管，而神射手版本将具有更长的枪管，这种武器在视觉上具有美国AR15 / M16平台以及现代欧洲突击步枪的特点，其中包括全长的Picatinny导轨（枪支配件的安装平台），QBZ-95 的某些设计特点也使它声名狼藉,暂无介绍
QBZ-171自动突击步枪,无,2016年泄露,中国,口径：  5.8×42mm在建国70周年阅兵式上，射击精度也高（与95相比）,暂无介绍
No.4步枪,无,1922年1926年定型出,未知,英军才在1939年11月正式把No.4 Mk.I采用为新的制式步枪,暂无介绍
QBZ95B-1式短自动步枪（突击步枪）,无,2000年中的托研制成功,未知,标志着国产小口径短步枪研制技术亦走向成熟，其重量也比传统有托步枪大幅降低，正是因为它迎合了现代战场对步兵轻武器所提出的威力大、长度短、重量轻、易机动的要求,暂无介绍
三八式步枪,无,暂无介绍,中国,暂无介绍,暂无介绍
斯太尔Scout步枪,无,1983年定义出,美国,暂无介绍,暂无介绍
AK-12突击步枪,无,暂无介绍,未知,重量将会与AK-74系列相当，口径：5.45毫米、5.56毫米、7.62毫米和一种保密口径，多种口径,暂无介绍
97式突击步枪,无,暂无介绍,中国,该型突击步枪延续了5.8毫米突击步枪特点，轻重量和设计紧凑，精度良好和可靠性高，其枪族使用的不是中国军队制式采用的DBP87式5.8mm小口径高速枪弹,暂无介绍
日本89式突击步枪,无,暂无介绍,日本,在设计上吸取了美国小口径步枪的一些优点，该枪有两种型式：一种采用折叠式管状铝合金枪托和塑料托底板，另一种采用固定式塑料枪托,暂无介绍
CS/LR17系列模块化步枪,无,暂无介绍,中国,CS/LR17步枪有三个口径的型号，分别是：751和556还有是739三种口径系统，可以通过改装使用三种口径的弹药,暂无介绍
4.32mm可控点射步枪,无,1977年受到,美国,暂无介绍,暂无介绍
MK12?modo特种用途步枪,无,暂无介绍,未知,因此精度比20英寸枪管的M16A2高得多,MK12是M4（SR25）的变型枪，这是一种近战用途的狙击枪，M4A1的机匣，18英寸长的比赛级枪管，PRI护木和准星，主要用于近距离战斗中的支援武器， 由于配用专门的狙击弹，因此精度比20英寸枪管的M16A2高得多，装弹20发，可连发，一般作用第一狙击手的支援武器
斯通纳63武器系统,无,1963年生产,越南,暂无介绍,暂无介绍
美国AR-10式7.62mm突击步枪,无,1955年改为,美国,AR-10采用直接导气系统（Direct Impingement）运作，并采用钛、铝合金机匣及玻璃纤维护木和枪托,AR-10采用直接导气系统（Direct Impingement）运作，并采用钛、铝合金机匣及玻璃纤维护木和枪托，在当时这时这种创新设计令它比其余两个对手（M14及FAL）轻了近1公斤，但最终美军选择了M14自动步枪，不久后AR-10的设计被用于AR-15（后来又衍生成M16，现今美军制式步枪）上
英国L85A1式5.56mm突击步枪, SA80,2000年2002年改装成,英国,"L85A1 又称 SA80, 是世界为数不多的采用无托结构的突击步枪之一 , 于 1985 年正式列装英国陆军、海军和空军 , 用以取代 7.62 毫米 L1A1 自动步枪和“ 斯太令”冲锋枪 ",暂无介绍
7.62mmCETME自动步枪,无,现在改名为闭锁1950年雇用,西班牙,暂无介绍,暂无介绍
AK47突击步枪,无,1947年设计,苏联,影响精度，而且重量比较大,暂无介绍
L85A1,无,2000年2002年改装成,未知,暂无介绍,暂无介绍
CS/LR4型狙击步枪,NSG-1,暂无介绍,中国,CS/LR4型狙击步枪（前称：7.62毫米高精度狙击步枪，又称：NSG-1）是一款由中国兵器工业第208研究所所研制、长风机械集团总公司生产的高精度狙击步枪系统，发射7.62×51毫米北约口径步枪子弹，例如中国生产的CS/DFL3型高精度铜壳全铅芯专用狙击弹药或国外生产的.308口径高精度比赛等级（英语：Match grade）弹药,暂无介绍
紫杉树突击步枪,无,暂无介绍,未知,有效射程一般为400米, 步枪是一种单兵肩射的长管枪械，主要用于发射枪弹，杀伤暴露的有生目标，有效射程一般为400米
星红AK47,无,暂无介绍,未知, (“星红”系列和“深红”系列武器一样具有伤害的小幅提高,暂无介绍
中国T65K1式5.56毫米自动步枪,无,暂无介绍,中国,暂无介绍,暂无介绍
苏俄水下手枪和自动步枪,无,暂无介绍,未知,暂无介绍,暂无介绍
Stgw.57自动步枪,无,1954-1957年研制,德国,但采用瑞士的7.5×55mm口径步枪弹,暂无介绍
M16A1自动步枪[军事武器枪械],无,暂无介绍,未知,口径5.56mm，全长990mm，重量3100g，这是世界上第一种列入正式装备的小口径步枪,暂无介绍
M16A2自动步枪,无,暂无介绍,美国,提高单发精度，也是世界上第一种正式列入部队装备的小口径步枪,暂无介绍
G3A4自动步枪,无,暂无介绍,未知,G3A4自动步枪口径：7.62mm，全长：800mm，重量：4520kg,暂无介绍
国产仿制M16A1的CQ自动步枪,无,1983年生产,中国,及采用M16A1式的上下机匣,我国生产的CQ自动步枪是仿制和改进美国的M16A1自动步枪，于1983年生产定型，主要用于出口
M16自动步枪,无,暂无介绍,美国,使用北约标准的5.56毫米口径弹药,暂无介绍
G41自动步枪[军事武器枪械],无,1979年9月交付,德国,暂无介绍,暂无介绍
法国5.56毫米FAMAS自动步枪[军事武器枪械],无,1970年决定看齐,法国,弹药口径：5.56×45mm NATO标准弹药，因此在小口径步枪热时，法国最初研究的FAMAS仍是7.5×54mm口径的，只是此时北约各国都将小口径枪弹改为SS109枪弹,暂无介绍
ak47[漫画《枪娘》中的角色],无,暂无介绍,未知,暂无介绍,暂无介绍
B41,无,暂无介绍,未知,暂无介绍,暂无介绍
AVS-36自动步枪,无,暂无介绍,未知,能够选择发射模式的步枪,暂无介绍
气动式,无,暂无介绍,未知,暂无介绍,暂无介绍
瑞士SIGSG552突击步枪,“突击队员”,暂无介绍,瑞士,暂无介绍,暂无介绍
特种作战突击步枪,无,5.56使用,比利时,两种口径都可以改装成“狙击型态”或“近战型态”(Close Quarters Combat),暂无介绍
VHS突击步枪,无,暂无介绍,法国,暂无介绍,暂无介绍
朝鲜58式突击步枪,无,暂无介绍,朝鲜,暂无介绍,暂无介绍
朝鲜“98式”突击步枪,无,1980年代开始引进,朝鲜,朝鲜步枪小口径化的具体时期难以判断，朝鲜开始从苏联引进AK74小口径步枪及配套的5.45毫米枪弹，与中国基本在同一时期迈入小口径时代,暂无介绍
M16A1步枪,无,1967年使用,美国,使用北约标准的5.56口径弹药，更是同口径枪械中生产得最多的一个型号,暂无介绍
mk17,无,暂无介绍,未知,暂无介绍,暂无介绍
M1加兰德,无,暂无介绍,美国,暂无介绍,暂无介绍
小口径步枪,无,暂无介绍,未知,小口径步枪 (Small Caliber Rifle)是指使用口径小于6毫米子弹的步枪，具有重量轻、易操控的特点,暂无介绍
小口径现代步枪,无,暂无介绍,未知,小口径现代步枪是指口径在5.56毫米的口径枪族,暂无介绍
瑞士SIGSG550/551式5.56毫米突击步枪,无,1981年得到,瑞士,全枪重量轻，是一支设计比较成功的小口径步枪,暂无介绍
95式自动步枪[军事武器枪械],QBZ95式自动步枪,暂无介绍,中国,该步枪口径5.8mm,暂无介绍
WK683-01防暴枪,无,暂无介绍,中国,暂无介绍,暂无介绍
10式狙击步枪,无,暂无介绍,中国,10式大口径狙击步枪由中国人民解放军自行设计，口径12.7毫米与著名反器材狙击步枪M82A1口径相同,暂无介绍
SSG69新型狙击步枪,无,暂无介绍,未知,SSG69狙击步枪采用了当时最先进的冷锻工艺和工程塑料，其结构则更多地保持了曼利夏步枪的传统特点，除保证枪管、机匣、枪机的加工精度外，其他次要零件尽量采用塑料件或铸造件以降低成本，多种口径和可选择的发射机构提高了武器对不同任务的适应性，SSG69狙击步枪最大的优点是在保证精度的条件下减小了质量,暂无介绍
SVD狙击步枪,无,1963年选中设计代替狙击,苏联,埃及、南斯拉夫、罗马尼亚等国家的军队也采用和生产SVD，采用新的玻璃纤维复合材料枪托和护木,暂无介绍
XM109型大口径狙击步枪,无,暂无介绍,未知,具有破坏轻装甲能力的XM109型狙击步枪，全长1168mm的半自动25mm步枪，它重量约20.9千克，而巴雷特M107型12.7mm口径的狙击步枪，重量约15千克,暂无介绍
M98,无,暂无介绍,美国,它采用旋转后拉式枪机，因而精度较好,暂无介绍
M90,无,1995年决定停产,美国,巴雷特在推出大口径半自动狙击步枪（反器材步枪）M82后,暂无介绍
M700狙击步枪,美国现役狙击之魂,暂无介绍,美国,暂无介绍,暂无介绍
法国FR-F2式7.62毫米狙击步枪,无,暂无介绍,未知,暂无介绍,暂无介绍
日本97式狙击步枪,无,暂无介绍,未知,所以精确射程并不远，另外该枪采用了偏置式瞄准镜,暂无介绍
SVD+M203,无,暂无介绍,未知,暂无介绍,暂无介绍
AW50反器材狙击步枪,无,暂无介绍,英国,暂无介绍,暂无介绍
AMPDSR-1狙击步枪,无,暂无介绍,德国,暂无介绍,暂无介绍
AIAW50狙击步枪,无,暂无介绍,未知,暂无介绍,暂无介绍
英国PM和隐藏式PM狙击步枪,无,暂无介绍,英国,暂无介绍,暂无介绍
tasco3-9*40瞄准镜,无,暂无介绍,美国,暂无介绍,tasco3-9*40瞄准镜是美国光学瞄准器材生产公司tasco的产品，主要用于单兵昼夜瞄准，射击之用，亦作用于观察搜索目标之用，可迅速获得目标并瞄准射击
TPG-1狙击步枪,无,2006年扮演,未知,TPG-1狙击步枪是战术高精度步枪,暂无介绍
沙科TRG狙击步枪,无,暂无介绍,芬兰,暂无介绍,暂无介绍
PSG狙击枪,无,暂无介绍,未知,而只采用望远式瞄准镜,暂无介绍
瑞士SG550狙击步枪,无,1988年研制出,未知,暂无介绍,暂无介绍
美国XM109狙击步枪,无,暂无介绍,美国,美国XM109狙击步枪配备的双脚架接触地面的部分采用尖钉状设计，还为M107型12.7mm口径狙击兵步枪改装成25mm口径提供了可更换的枪机、接收器和弹匣等升级零件，采用一种非常先进的计算机数据处理瞄准镜系统，该系统主要应用范围为1000米和更远的距离上使得该枪更具有远距离射击能力,而且有一个标准皮卡汀尼M1913型附件导轨用于安装其它附件
黄金AWM,无,暂无介绍,未知,暂无介绍,暂无介绍
