weapon,abstract
T-34坦克[第二次世界大战中苏联著名坦克],"
	T-34坦克（俄文：T-34 ТАНК ，英文：T-34 Medium Tank ），是第二次世界大战前由苏联哈尔科夫共产国际工厂设计师米哈伊尔·伊里奇·科什金领导设计的中型坦克。该坦克战斗全重32吨，发动机功率500马力，最大公路速度75千米/小时，最大行程400千米，装备一门76毫米坦克炮，是一型火力、防护力和机动性都很突出的坦克 。从20世纪40年代到50年代苏联一共生产了T-34系列坦克84070辆，其型号主要为两种：安装76.2毫米坦克炮的T-34/76坦克和安装85毫米坦克炮的T-34/85坦克。T-34坦克带有倾斜装甲的设计思路对后世的坦克发展有着深远及革命性的影响。	"
退射坦克,"
	退射坦克就是在前进时炮筒指向后方的坦克，这种坦克的射程最远、速度一般。	"
坦克抢救车,"
	装有专用救援设备的履带式装甲车辆。亦称坦克抢救牵引车。主要用于野战条件下，对淤陷、战伤和技术故障的坦克实施拖救和牵引后送;必要时,也可用于排除路障和挖掘坦克掩体等。	"
T-98式坦克,"
	我军最新型T-98式坦克战斗全重50T，最大时速65KM/H，最大行程500KM（与M1A2相当)，火控系统采用下反稳像式火控系统，炮长瞄射目标时，车长可搜索下一目标并自行射击。	"
T-127,"
	T-127型坦克是前苏联174工厂在1940年秋天和T-126同时研制的，由于V-3发动机的问题，研发暂停。	"
T29重型坦克,"
	T29是一个开始于1944年3月；用于对抗德军新型重型坦克的美国重型坦克工程。当时45吨重的T26E3，被认为不足以抗衡德军几乎重达70吨的虎II坦克 。T29并没有投入欧洲战场，但是他给了战后工程师们测试炮兵工程理论，和一些零部件的机会。 T29重型坦克被认为是拥有更厚重装甲的加宽版本T26E3坦克， 并且拥有一台能提供大约770马力的大功率的福特GAC引擎，并且能够让驾驶员更加舒适。还有一门高射速的105mm T5火炮。T29重型坦克重约70吨，在火力与防护上与虎II坦克相当。另一台实验模型上有 V12 发动机。 与其同时发展的T30重型坦克与T29重型坦克有着十分紧密的关系, T30重型坦克在外形中除了安装了155mm火炮和一台更加强劲的引擎，装备了半自动装填机之外，几乎和T29重型坦克完全一样。 1945年，随着二战欧洲战场的结束，T29和T30坦克被认为可以小幅订购，并且有一个小型订单，因为他们的重炮和厚重的装甲被认为在进攻日本本土时很有帮助。然而，美国陆军司令部不赞成发展这样的重型车辆，而且战争在这些问题被解决之前已经结束了，因此，仅仅有一小批实验车被造出来。	"
T-34/85,"
	T-34/85是苏联二战中于1943年在T-34中型坦克基础上升级火力改进来的一种著名坦克。T-34/85总产量（包括战后捷克斯洛伐克和波兰许可生产的）超过35000辆。1943年12月又一轮测试，三种85mm火炮参加，分别是中央火炮设计局的S-53（炮塔座圈1420mm）,S-50（1600mm）和第92工厂提供的LB-85（1600mm）。T-34/85于1944年3~4月间的乌曼—博托沙尼战役首次投入使用，6月起的白俄罗斯战役开始大量使用。据STEVEN ZALOGA的一书,当时有数辆T-34参与消灭虎王的行动.俄国的《The Royal Opponent》一文也表明当时奥斯金的指挥官也用坦克在场监督，很明显参战了而且雷盖特并未在此战中身亡而是被撤职。	"
T-95主战坦克[第三代主战坦克],"
	T-95主战坦克（俄文：ТАНКА Т-95 ，英文：T-95 main battle tank），是苏联于20世纪末开始研制的第三代主战坦克，苏联解体后，俄罗斯对外宣布，该坦克2009年生产，但一直没有量产。T-95坦克重约55吨，长、宽和T-72、T-80坦克基本相同，安装了口径为152毫米的新型滑膛炮。为保证作战性能，T-95的发动机为GTD-1250型燃气轮机的改进型，比T-90主战坦克更快，并具有更大的单位功率与加速性能。	"
T95重型坦克,"
	1945年，美国陆军要求设计发展一种超重型坦克，主要是打击德国的防御工事(例如齐格菲防线)。因与鼠式为同一时期产物，所以常被互相比较。也由此产生了“为对抗德国鼠式、E100等重型坦克而研发”的错误。1945年春，美国太平洋汽车和铸造公司开始设计。开始要求制造5辆样车，总共生产25辆，不过到最后只生产了2辆。原称T95自行火炮，1946年6月改称T28超重型坦克。 1945年2月7日，军火研发部门主席的一份备忘录又把它称做T95型105毫米火炮搭载车。	"
坦克歼击车[自行反坦克炮],"
	坦克歼击车是装有反坦克加农炮或反坦克导弹的装甲战斗车辆。由德国发明。装有反坦克加农炮的轮式坦克歼击车，也称轮式反坦克自行火炮，是近代出现的一种新型坦克歼击车。坦克歼击车广泛装备时间为第二次世界大战。	"
SA2型76毫米自行高炮系统,"
	关于76毫米高射炮，这款装备已经出现好几年了，但一直默默无闻，这段时间又有人在谈论这个问题，小编也凑个热闹聊聊这个冷门装备。76毫米算是中口径，比较常见的是用在驱护舰上，最著名的就是现在各国海军使用的奥托·梅莱拉76毫米舰炮，该型炮由意大利奥托梅莱拉公司研制生产，特点是射速高，同时兼顾防空，反导和对陆攻击能力，体积又比较紧凑，适合在中小型舰艇上使用，因此该型炮被各国海军广泛使用，被誉为舰炮中的“AK-47”。	"
新加坡飞马155毫米重型火炮,"
	也就是“柏枷索斯”，一种著名的高机动性重型火炮。	"
JRVG-1型76毫米自行火炮武器系统,"
	这款JRVG-1型自行高炮最大的亮点并不是其绚丽的外形，而是它所装备的76毫米火炮，这门76毫米火炮采用的是国产的76毫米舰炮的成熟技术，它的射速最高可达到每分钟三百发，最大射高可达八公里，最低射高也有几百米，可以对六公里之内的敌方战机进行有效的打击。	"
QF4.5英寸MKII型炮,"
	QF4.5英寸榴弹炮（114.3毫米口径）是英国在一战前的1910年研制成功的榴弹炮，该炮采用楔形炮栓，装填和闭锁比较简单，在一战中被认为是最好的野战榴弹炮之一，被大量使用，连俄国都获得了许可证进行生产。	"
PCL-181新型车载加榴炮,"
	PCL-181型车载155毫米榴弹炮，被称为“卡车炮”，我军新一代战争之神，被国内军迷昵称为“最强卡车炮”，是我陆军集团军装备最新锐的大口径压制火炮，具有机动性强、火力反应快、打击精度高、信息化水平高等特点，可负担陆军地面攻防作战中火力突击、火力支援、火力封锁等多种作战任务。	"
意大利“奥托”高射炮,"
	由奥托·布雷达公司研制，其样机安装在改进型“豹”I坦克的底盘上。	"
OB-25式团属野战炮 ,"
	新型火炮装有1927年型76mm团属野战炮的炮尾闭锁，一个液压驻退机，一个具有4根弹簧的复位机。采用ZIK-1或者GAZ-AA炮的炮轮。高低机是一体的。火炮不能通用其他火炮的弹药，它使用的炮弹弹药筒重0.89公斤。OB-25式团属野战炮具有份量轻，易操作的优点，但总的来看，它是一种不成功的火炮。它的初速太低，无法使用反坦克高爆弹，因此根本对付不了装甲目标。在二战后期OB-25退出了现役。	"
M1930 (1-K)37毫米反坦克炮 ,"
	M1930型37毫米反坦克炮，是1930年初，苏联从德国引进Pak 36型37毫米反坦克炮，并在取得了德国莱茵公司的生产许可证后，苏联开始对其进行仿制并定型为M1930型。	"
M163火神自行高炮,"
	美国于1964 年开始研制，1965 年正式定型，1968 年 8 月起正式服役，主要装备美军机械化步兵师和装甲师属混合防空炮兵营，与小槲树防空导弹配合使用。主要用于掩护前沿部队，对付低空飞机和武装直升机，也可对付地面轻型装甲目标。	"
飞雷炮（没良心炮）,"
	飞雷是一种解放军创造的自制武器。他还有一个更加闻名遐迩的名字——没良心炮。解放战争时期，解放军的火炮很少，在武器装备处于劣势的情况下，官兵们创造了一种令人丧胆的武器——用汽油桶做炮管的炸药包发射器。这种又称炸药抛射筒的武器的主体就是一个空汽油桶，在其内填充发射药后，把捆扎成圆盘形的炸药包放进去，然后点燃发射药，就能把十公斤的炸药包抛射到150-200米的距离上。	"
83式152毫米履带自行加榴炮,"
	83式152毫米自行加榴炮是我国自行研制的第一门带全封闭式旋转炮塔的自行火炮，在1984年10月1日国庆35周年的阅兵式上，以其雄伟的姿态通过了天安门广场。这种自行加榴炮由火炮、炮塔和履带式底盘组成。火炮通过耳轴安装在炮塔上，炮塔则通过座圈与车体相连接。其主要用途是：以不间断的火力支援摩托化步兵和装甲兵的战斗行动；压制和歼灭敌有生力量及火器，破坏敌野战防御工事；与敌炮兵、坦克和装甲车辆作战。	"
迫击砲,"
	迫击炮（Mortar）是一种炮身短、射角大、弹道弧线高、以座钣承受后座力、发射带尾翼弹的曲射火炮。	"
PGZ-07自行高炮,"
	PGZ-07自行高炮是中国自行研制的新一代35毫米自行高炮，主要担负部队野战防空任务。该新型高炮的研制成功使中国首次具备高机动末端防空能力，可对50米至5000米范围内的直升机、无人机、巡航导弹等常规目标进行有效拦截，使解放军在这一领域达到发达国家同类装备水平。	"
PLZ52自行榴弹炮,"
	师承苏联/俄罗斯的“大炮兵主义”，中国发展野战炮兵系统一直不遗余力。早在1988年公开露面的45倍口径PLZ-45型自行榴弹炮的射程就已经居于世界的前列。它发射中国自行研制的低阻全膛增程弹时射程为30公里，射击低阻底排增程弹时射程可达39公里，仅略少于52倍径155毫米炮。	"
PTL02轮式突击炮,"
	PTL02式100毫米轮式自行突击炮是一种具有多种作战功能、技术先进、综合性能优越、易于掌握使用的新型大威力轮式自行突击炮。	"
ZSU-37自走防空炮,"
	ZSU-37是由苏联制造并生产的轻型自行防空炮 (SPAAG), 于1943年底研制, 在梅季希机械制造厂(Mytishchi Machine-Building Plant)生产。它是苏联第一种装甲履带式自行防空炮。	"
日耳曼“犀牛”自行反坦克炮,"
	“犀牛”自行反坦克炮，也有人按德文音译为“纳斯霍伦”自行反坦克炮，是德国第一种用特制底盘制成的自行火炮。尽管也可以说它的底盘为TⅣ型坦克，但是，它是在TⅣ底盘的基础上，经过重大改动制成的自行火炮。最突出的变化是，将发动机的位置从中部移至中前部，取消了传动轴，直接用联轴器将发动机和变速箱连接起来。这样做的目的是尽量扩大战斗室的空间。由于发动机的位置前移，使车体内部的布置发生了相当大的变化。	"
SU-51自行火炮,"
	SU-51自行火炮，是一款1943年开始研制的前苏联武器。	"
美国M12自行火炮,"
	美国产的一款现代自行火炮。	"
反坦克火炮,"
	反坦克火炮，长身管发射穿、破甲的反坦克加农炮，因为炮弹初速大，弹道低平，直射距离大，射精度高，一直是中国陆军反坦克炮兵分队的主要反装甲兵器。我军炮兵装备制式化以来，先后装备过，我军第一代56式85毫米加农炮，该炮一直使用到80年代初。	"
复合材料迫击炮,"
	这是一种采用复合材料制造的迫击炮。目前，美国洛克希德导弹与宇航公司已用复合材料制造了一种120毫米迫击炮技术验炮样炮。该炮全重只有54.43公斤，比用钢时(143.79公斤)减轻了60%，可由一人携带，因此特别适合于快速反应、空降、突击队或特种部队使用。	"
M224便携式60毫米迫击炮,"
	美国陆军于 1971开始研制 年，1972 年 4 月，1977 年 7 月定型并命名为 M224 式。1978 年开始生产，1979 年装备美军步兵连、空中突击连和空降步兵连，主要用于为步兵提供近距完成工程试验离火力支援。	"
M1938型120mm重型迫击炮,"
	苏联于上世纪30年代研制并生产的120mm迫击炮，性能优良，生产方便。	"
苏联M—43式迫击炮,"
	M1943式120毫米迫击炮是苏联二战后期研制定型的120毫米重型迫击炮，1943年装备部队。M43式120毫米迫击炮是根据苏联M38式迫击炮改进而成，原因是M38式迫击炮的强度和操作性能不能满足作战要求。该炮装备摩托化步兵营迫击炮排（3门）和空降团迫击炮连（6门）。苏军使用期达50年之久，后逐步退役，为2S9式120毫米自行迫击炮取代。该炮早已停止生产，但埃及仍在生产。除装备苏军外，捷克、原民主德国、罗马尼亚、越南、阿尔巴尼亚、南斯拉夫、埃及、伊拉克、朝鲜、叙利亚和也门等国的陆军也有装备。中国也有仿制型，称55式120毫米迫击炮。	"
中国78式82毫米无坐力炮,"
	是一门中国北方工业公司为了向中国人民解放军（以下简称为解放军）步兵部队提供了一种快捷而且直接的火力支援，并且击毁轻型坦克、装甲运兵车或碉堡等目标而制造的82 毫米口径滑膛式无后坐力炮系统，发射82 毫米炮弹。78式是在65式上进行一些修改的改进版。78式已经大量而显著地装备解放军地面部队，而且目前仍在一些B级单位和预备役部队中服役。此无后坐力炮正开始被98式反坦克火箭筒所取代。	"
坐钣,"
	迫击炮上的一个部件,在最后方。作用是用来承受迫击炮发射炮弹时产生的后坐力。	"
中国81毫米W1987式迫击炮,"
	中国81毫米W1987式迫击炮是我国研制的迫击炮，1987年定型，可为步兵提供压制火力。	"
比利时90毫米科克里尔MK4式坦克炮,"
	比利时 科克里尔机械工业公司研制。初MK4外，还有改进型MK4A1式和MK4A3式。该炮采用50倍口径长身管、三室装有抽气装置的炮口制退器和立楔式炮栓。初速（曳光破甲弹）1000米/秒，最大有效射程2000米，射速8发/分。	"
意大利B1式105毫米自行反坦克炮,"
	意大利B1式105毫米自行反坦克炮是采用英国105毫米L7式坦克炮和8X8“逊陶罗”轮式战车底盘制造的自行反坦克炮；初速为1480米/秒，射速10发/分，携弹量40发，战斗状态全重（生产型）22000千克。	"
ZIS-3反坦克炮,"
	ZIS-3反坦克炮是20世纪30年代后期前苏联为军事改革制作的武器，全长6095毫米，撤距1400毫米，威力强大，炮手班有8人组成：炮长、副炮长各1人，炮手6人。	"
M1939式37毫米高炮,"
	M1939式37毫米高炮，全重2100千克，炮班8人，通过旋转底板和十字炮架在4轮拖车上，炮身长2729毫米（为74倍径），高低射界﹣5~﹢85度，可360度旋转，水平最大射程9500米，实用最大射高3000米。	"
台湾40毫米L70高射炮,"
	台湾40毫米L70高射炮是由新加坡AOS公司提供技术.台湾进行改进而成的一种高射炮.该炮操作简便，既可与低空防御雷达配合使用，也可以单独使用。该炮将成为台湾武装部队构建低空防御火力的最佳武器。	"
意大利“奥托.梅拉拉”25毫米4管自行高射炮,"
	意大利“奥托.梅拉拉”25毫米4管自行高射炮是意大利奥托.梅拉拉公司于1979年研制，1987年生产，1989年装备部队。	"
11式模块化自行122毫米火箭炮,"
	在中国陆军序列中，有很多比较先进的火箭炮，例如03式火箭炮。03式火箭炮是一种大口径压制性武器，除了03式火箭炮，还有就是11式火箭炮。与之前的一系列火箭炮相比，11式火箭炮在各方面都有很大的提高。那么，11式火箭炮到底在什么地方有优势呢？认真地说，除了火箭炮射程之外，还有就是非常好的越野能力。	"
喀秋莎火箭炮,"
	喀秋莎火箭炮也叫喀秋莎多管火箭炮，正式编号为喀秋莎BM-13火箭炮，喀秋莎BM-13火箭炮是苏联最先研制成功火箭炮，并首先用于实战。在当时，世界上还没有一个国家象前苏联那样投入人力、财力去研究各种火箭装置，第二次世界大战中威名远扬的自行火炮--喀秋莎系列就是苏联多年不懈努力的成果。
在第二次世界大战中，苏联的喀秋莎火箭炮总共有四大系列的，他们分别是82毫米 M8系列，132毫米 M13系列，300毫米M30系列，310毫米 M31系列.在整个二战期间，苏联军队总共装备了2400门 BM-8，6800门 BM-13，1800门 BM-31喀秋莎，以嘎斯卡车底盘总共生产了3374辆火箭发射车(不包括美国援助的吉普车改装的喀秋莎)。
战后，苏联又将其应用范围扩大，发展出了完备的火箭炮武器运载平台，使苏联成为世界上首屈一指的火箭强国。	"
PHL-16远程火箭炮,"
	PHL16式远程火箭炮（下称新远火）是PHL03式火箭炮的继承者，可发射多款火箭弹和导弹。16式发射300毫米制导火箭弹的有效射程为150公里，发射370毫米制导火箭弹最远可达300公里，发射750毫米近程弹道导弹或者巡飞弹的射程更远且精度更高，传闻可打击400公里以外且误差不超过10米。	"
新90式122毫米轮式自行火箭炮,"
	90A式122亳米轮式自行火箭炮，是我军最先进的122毫米自行火箭炮，它是将40管122毫米多管火箭发射架装在7.5吨级的铁马XC22006X6 六轮越野卡车上而成。
            	"
捷MK70式火箭炮,"
	捷克斯洛伐克自行研究的火箭炮。	"
A3火箭炮,"
	中国研制火箭炮比苏联晚的多，但却比西方预计的要早。 1948年解放军专家钟林在河北组建了火箭技术室，开始研制A3式6管102毫米野战火箭炮，后转五二工厂继续研制。 1951年，中国研制成功427式和488式102毫米火箭弹，最大射程5公里。	"
AR-3火箭炮,"
	AR-3火箭炮，是中国北方工业公司（简称：北方工业）研制的一型轮式多管火箭炮。该型火箭炮是在北方工业AR-2型火箭炮基础上发展研制。AR-3火箭炮战斗总重45吨，持续行驶能力为650千米，最大速度60千米/小时。北方工业公司共为AR-3设计了五种弹药，其中三种为无控型火箭弹，两种为可控型。该系统的射程在22~220千米，既可以营为单位作战，也可独立执行打击任务。	"
比利时70毫米LAU-97式多管火箭炮,"
	LAU-97式70毫米火箭炮是比利时泽布勒赫铸造厂研制的口径70毫米的40管轻型火箭炮。分牵引式和自行式两种。1984年曾进行过射击表演，装备团一级部队，用于对面目标设计。	"
各国火箭炮,"
	火箭炮是炮兵装备的火箭发射装置，由于通常为多发联装，又称为多管火箭炮。火箭炮的主要作用是引燃火箭弹的点火具和赋予火箭弹初始飞行方向。由于火箭靠本身发动机的推力飞行，火箭炮不需要有能够承受巨大膛压的笨重炮身和炮闩，也没有后坐装置。火箭炮能多发联射和发射弹径较大的火箭弹，它的发射速度快，火力猛，突袭性好，但射弹散布大，因而多用于对目标实施面积射打击。	"
M270多管火箭炮,"
	M270多管火箭系统（M270 Multiple Launch Rocket System，常缩写为M270 MLRS）是一个设有装甲的自走多管火箭炮武器系统。自1983年美军第一次使用M270火箭炮之后，北约多个成员国相继开始采用M270，而逐渐成为北约的制式武器。以后美国与欧洲国家总共生产了约1,300套的M270与约700,000支火箭。2003年时，在最后一批M270交付埃及陆军之后，M270正式停产。	"
MLRS多管火箭系统,"
	MLRS多管火箭系统（英文名：Multiple Launch Rocket System，缩写为MLRS）的具体名称是美国M270式227毫米12管火箭炮系统，是70年代美、英、法、德、意多国参与研制的一种压制武器，由美国沃特公司生产、1983年装备美军，主要用以填补身管火炮和战术导弹之间的火力空白。	"
卫士WS-1／1B型300毫米多管火箭炮,"
	“卫士“WS-1B型300毫米多管火箭炮。射程60-180千米，超过美军BLOCK-1战术导弹射程（165千米），最大飞行速度5。2马赫。	"
中国83式273毫米火箭炮,"
	83式273毫米履带式自行火箭炮于1983年设计定型，并投入小批量生产，供部队试用。发射架为箱式桁架结构。
            	"
中国122毫米81式多管火箭炮,"
	中国122毫米81式多管火箭炮	"
中国130毫米1970式多管火箭炮,"
	我国70年代初研制的19管火箭炮，1977年10月设计定型。	"
山猫超轻型全地形车,"
	“山猫”，一辆国产全地形车搭载了遥控武器站系统。一代山猫于2014年之前服役，装备一台后置1.4T排量发动机，匹配5前速手动变速箱，和实时8轮驱动组件，无悬挂。基本型长3.9米，宽1.8米，高1.4米，自重近1吨，大约相当于一个小型家用轿车。最高时速超过100公里/小时，常用速度在40-80公里/小时。标准成员6人。可涉水浮渡。能轻松穿越沼泽、雪地、山地、森林、池塘、溪流等恶劣地形。在车身上加装12.7MM机枪，35MM榴弹器等武器。如果到此为止，那么，山猫还只能算是一款别出心裁，突击通用，在复杂地形作为我军快速突击的一款出其不意的新型产品。有新意，有创意，有一定实战能力，获得部队认可，开始装备我军空突旅，特战旅，山地旅等需要在复杂地形作战的部队。整体还是比较中规中矩的。	"
法国狮身人装甲侦察车,"
	法国“狮身人”装甲侦察车是一种装有侦察设备的战车，分履带式和轮式两种。该侦察车可有效抵挡火箭助推榴弹的攻击，对地雷和路边炸弹的防御能力也较强。	"
美军DUKW水陆两用运输车,"
	美军DUKW水陆两用运输车DUKW,代号称为“鸭子”,D指1942年制造，U指水陆两用，K指各轮均有驱动力，W指双后车轴。	"
ZBD-04履带式步兵战车,"
	ZBD-04步兵战车(简称：04式步战车)，也称为04式履带式步兵战车，是中国研制的第二代履带式步兵战车，于2003年12月通过设计定型审查。 战车采用中国自行研制的履带式底盘，发动机前置，中部为炮塔，后部为乘员舱，可搭载7名步兵。车体采用铝合金材料，为全焊接车体，全车质量较轻，流线型较好。车首装甲的倾斜角度较大，拥有较好的防弹外形，车首前下方安装有大型防浪板，车尾门下方两侧具有两个喷水推进器喷口，具有较佳的浮渡性能。	"
ZBD-09 8×8轮式步兵战车,"
	ZBL-09步兵战车（根据中华人民共和国武器命名规则，ZBL即装甲—步兵战车—轮式）又被称为ZBL-09 8×8轮式步兵战车、09式步兵战车或09式轮式步兵战车，是中华人民解放军装备的一款8×8轮式步兵战车，其研制单位是中华人民共和国北方工业公司
。它首次公开亮相是在2009年10月1日的中华人民共和国60周年国庆阅兵上，它排在装甲车方队的第5位，由中国人民解放军陆军第54集团军的成员驾驶。
ZBL-09步兵战车的外贸型号称为VN1 8×8轮式步兵战车，委内瑞拉于2014年装备有一批并于2015年3月参加了委内瑞拉全国军事演习
。	"
